,Date,Account,Income
0,1/15/2021,CHK,470.49
1,1/29/2021,CHK,512.10
2,2/12/2021,CHK,475.27
3,2/26/2021,CHK,512.10
4,3/12/2021,CHK,574.70
5,3/19/2021,CHK,649.90
6,3/26/2021,CHK,649.91
7,3/26/2021,CHK,277.71
8,4/2/2021,CHK,649.90
9,4/9/2021,CHK,649.89
10,4/16/2021,CHK,649.91
11,4/23/2021,CHK,649.90
12,4/30/2021,CHK,649.90
13,5/7/2021,CHK,649.91
14,5/14/2021,CHK,692.59
15,5/21/2021,CHK,688.22
16,5/28/2021,CHK,710.13
17,6/4/2021,CHK,708.39
18,6/11/2021,CHK,657.73
19,6/18/2021,CHK,674.88
20,6/25/2021,CHK,671.25
21,7/2/2021,CHK,683.63
22,7/9/2021,CHK,714.10
23,7/16/2021,CHK,682.57
24,7/23/2021,CHK,740.15
25,7/30/2021,CHK,709.36
26,8/6/2021,CHK,680.45
27,8/13/2021,CHK,745.93
28,8/20/2021,CHK,715.40
29,8/27/2021,CHK,564.60
30,9/3/2021,CHK,723.33
31,9/10/2021,CHK,780.35
32,9/17/2021,CHK,628.97
33,9/24/2021,CHK,891.46
34,10/1/2021,CHK,893.19
35,10/8/2021,CHK,782.84
36,10/15/2021,CHK,804.81
37,10/22/2021,CHK,778.87
38,10/29/2021,CHK,879.21
39,11/5/2021,CHK,803.31
40,11/12/2021,CHK,854.21
41,11/19/2021,CHK,886.82
42,11/26/2021,CHK,2180.25
43,12/3/2021,CHK,850.74
44,12/10/2021,CHK,1022.49
45,12/17/2021,CHK,1053.01
46,12/23/2021,CHK,903.05
47,12/31/2021,CHK,2673.45
