Date,Account,Debit,Credit,Category,Month,Year
2021-03-15,CHK,20.0,0.0,Gift,3,2021
2021-03-15,CHK,50.0,0.0,Gift,3,2021
2021-03-15,CHK,0.0,20.0,Utility,3,2021
2021-03-15,CHK,35.52,0.0,Utility,3,2021
2021-03-17,CHK,0.0,1400.0,Taxes,3,2021
2021-03-18,CC - BofA,22.76,0.0,Shopping,3,2021
2021-03-19,CC - BofA,10.0,0.0,Donation,3,2021
2021-03-20,CC - BofA,43.97,0.0,Entertainment,3,2021
2021-03-22,CC - BofA,40.79,0.0,Self Care,3,2021
2021-03-23,CHK,110.67,0.0,Utility,3,2021
2021-03-25,CHK,60.05,0.0,Entertainment,3,2021
2021-03-25,CC - BofA,58.65,0.0,Pet,3,2021
2021-03-25,CC - BofA,10.83,0.0,Entertainment,3,2021
2021-03-26,CC - BofA,13.33,0.0,Entertainment,3,2021
2021-03-27,CC - BofA,164.77,0.0,Insurance,3,2021
2021-03-27,CC - BofA,10.0,0.0,Insurance,3,2021
2021-03-28,CC - AMEX,7.09,0.0,Entertainment,3,2021
2021-03-29,CC - BofA,14.99,0.0,Food,3,2021
2021-03-29,CC - BofA,10.14,0.0,Entertainment,3,2021
2021-03-31,CC - AMEX,10.54,0.0,Entertainment,3,2021
2021-04-01,CC - BofA,26.4,0.0,Entertainment,4,2021
2021-04-01,CC - Kohls,546.96,0.0,Shopping,4,2021
2021-04-01,CC - Kohls,200.0,0.0,Gift,4,2021
2021-04-02,CHK,1051.62,0.0,Rent,4,2021
2021-04-02,CC - BofA,49.95,0.0,Insurance,4,2021
2021-04-02,CC - BofA,67.36,0.0,Food,4,2021
2021-04-02,CC - BofA,74.75,0.0,Food,4,2021
2021-04-03,CC - BofA,26.0,0.0,Entertainment,4,2021
2021-04-03,CC - CareCred,29.0,0.0,Fee,4,2021
2021-04-05,CHK,19.0,0.0,Entertainment,4,2021
2021-04-05,CC - BofA,0.75,0.0,Fee,4,2021
2021-04-05,CC - BofA,25.0,0.0,Miscellaneous,4,2021
2021-04-05,CC - BofA,16.08,0.0,Hobby,4,2021
2021-04-07,CC - CareCred,0.0,680.0,Pet,4,2021
2021-04-08,CHK,132.79,0.0,Utility,4,2021
2021-04-10,CC - BofA,7.41,0.0,Entertainment,4,2021
2021-04-10,CC - BofA,7.91,0.0,Entertainment,4,2021
2021-04-10,CC - AMEX,16.76,0.0,Entertainment,4,2021
2021-04-12,CC - BofA,30.98,0.0,Entertainment,4,2021
2021-04-13,CC - BofA,58.65,0.0,Pet,4,2021
2021-04-15,CC - BofA,7.58,0.0,Self Care,4,2021
2021-04-16,CHK,0.0,521.88,Rent,4,2021
2021-04-16,CC - AMEX,6.97,0.0,Entertainment,4,2021
2021-04-16,CC - AMEX,5.34,0.0,Hobby,4,2021
2021-04-17,CC - BofA,30.53,0.0,Entertainment,4,2021
2021-04-17,CC - BofA,30.46,0.0,Entertainment,4,2021
2021-04-19,CC - BofA,54.68,0.0,Food,4,2021
2021-04-19,CC - BofA,64.69,0.0,Food,4,2021
2021-04-19,CC - BofA,109.12,0.0,Entertainment,4,2021
2021-04-19,CC - BofA,152.4,0.0,Self Care,4,2021
2021-04-20,CC - BofA,51.51,0.0,Gas & Fuel,4,2021
2021-04-21,CHK,0.0,5.0,Miscellaneous,4,2021
2021-04-21,CHK,5.0,0.0,Miscellaneous,4,2021
2021-04-22,CC - BofA,29.33,0.0,Shopping,4,2021
2021-04-26,CC - BofA,15.29,0.0,Shopping,4,2021
2021-04-26,CC - BofA,10.83,0.0,Entertainment,4,2021
2021-04-26,CC - BofA,10.52,0.0,Transportation,4,2021
2021-04-26,CC - BofA,109.35,0.0,Gift,4,2021
2021-04-27,CC - BofA,164.77,0.0,Insurance,4,2021
2021-04-27,CC - BofA,10.0,0.0,Insurance,4,2021
2021-04-28,CC - BofA,18.06,0.0,Shopping,4,2021
2021-04-28,CC - BofA,21.44,0.0,Shopping,4,2021
2021-04-29,CC - BofA,93.55,0.0,Pet,4,2021
2021-04-30,CHK,1081.24,0.0,Rent,4,2021
2021-05-01,CC - BofA,25.72,0.0,Shopping,5,2021
2021-05-03,CHK,0.0,521.88,Rent,5,2021
2021-05-03,CC - BofA,49.95,0.0,Insurance,5,2021
2021-05-03,CC - BofA,10.4,0.0,Food,5,2021
2021-05-03,CC - CareCred,40.0,0.0,Fee,5,2021
2021-05-05,CC - BofA,16.08,0.0,Hobby,5,2021
2021-05-06,CC - CareCred,0.0,69.0,Fee,5,2021
2021-05-06,CC - AMEX,7.7,0.0,Entertainment,5,2021
2021-05-08,CC - BofA,23.11,0.0,Entertainment,5,2021
2021-05-08,CC - BofA,45.0,0.0,Self Care,5,2021
2021-05-10,CHK,31.0,0.0,Gift,5,2021
2021-05-10,CHK,1730.0,0.0,Taxes,5,2021
2021-05-10,CHK,585.0,0.0,Taxes,5,2021
2021-05-10,CHK,132.82,0.0,Utility,5,2021
2021-05-10,CHK,0.0,27.84,Utility,5,2021
2021-05-10,CHK,0.0,21.69,Utility,5,2021
2021-05-10,CHK,0.0,20.65,Utility,5,2021
2021-05-10,CHK,0.0,19.52,Utility,5,2021
2021-05-10,CHK,0.0,18.74,Utility,5,2021
2021-05-10,CHK,0.0,17.76,Utility,5,2021
2021-05-10,CHK,0.0,12.83,Utility,5,2021
2021-05-10,CC - BofA,56.53,0.0,Food,5,2021
2021-05-10,CC - BofA,11.96,0.0,Entertainment,5,2021
2021-05-11,CC - BofA,0.0,15.29,Shopping,5,2021
2021-05-11,CC - BofA,0.0,0.43,Food,5,2021
2021-05-11,CC - BofA,63.02,0.0,Food,5,2021
2021-05-17,CC - BofA,80.09,0.0,Pet,5,2021
2021-05-18,CC - BofA,24.3,0.0,Entertainment,5,2021
2021-05-19,CC - BofA,16.0,0.0,Entertainment,5,2021
2021-05-19,CC - BofA,41.97,0.0,Shopping,5,2021
2021-05-19,CC - BofA,165.2,0.0,Entertainment,5,2021
2021-05-19,CC - BofA,80.36,0.0,Entertainment,5,2021
2021-05-20,CC - BofA,75.6,0.0,Entertainment,5,2021
