,Date,Account,Debit,Credit,Type
125,4/2/2021,CC - BofA,49.95,,Insurance
126,4/2/2021,CC - BofA,67.36,,Food
127,4/2/2021,CC - BofA,74.75,,Food
128,4/3/2021,CC - BofA,26.00,,Entertainment
129,4/3/2021,CC - CareCred,29.00,,Fee
130,4/5/2021,CHK,19.00,,Entertainment
131,4/5/2021,CC - BofA,0.75,,Fee
132,4/5/2021,CC - BofA,25.00,,Miscellaneous
133,4/5/2021,CC - BofA,16.08,,Hobby
134,4/7/2021,CC - CareCred,,680.00,Pet
135,4/8/2021,CHK,132.79,,Utility
136,4/10/2021,CC - BofA,7.41,,Entertainment
137,4/10/2021,CC - BofA,7.91,,Entertainment
138,4/10/2021,CC - AMEX,16.76,,Entertainment
139,4/12/2021,CC - BofA,30.98,,Entertainment
140,4/13/2021,CC - BofA,58.65,,Pet
141,4/15/2021,CC - BofA,7.58,,Self Care
142,4/16/2021,CHK,,521.88,Rent
143,4/16/2021,CC - AMEX,6.97,,Entertainment
144,4/16/2021,CC - AMEX,5.34,,Hobby
145,4/17/2021,CC - BofA,30.53,,Entertainment
146,4/17/2021,CC - BofA,30.46,,Entertainment
147,4/19/2021,CC - BofA,54.68,,Food
148,4/19/2021,CC - BofA,64.69,,Food
149,4/19/2021,CC - BofA,109.12,,Entertainment
150,4/19/2021,CC - BofA,152.40,,Self Care
151,4/20/2021,CC - BofA,51.51,,Gas & Fuel
152,4/21/2021,CHK,,5.00,Miscellaneous
153,4/21/2021,CHK,5.00,,Miscellaneous
154,4/22/2021,CC - BofA,29.33,,Shopping
155,4/26/2021,CC - BofA,15.29,,Shopping
156,4/26/2021,CC - BofA,10.83,,Entertainment
157,4/26/2021,CC - BofA,10.52,,Transportation
158,4/26/2021,CC - BofA,109.35,,Gift
159,4/27/2021,CC - BofA,164.77,,Insurance
160,4/27/2021,CC - BofA,10.00,,Insurance
161,4/28/2021,CC - BofA,18.06,,Shopping
162,4/28/2021,CC - BofA,21.44,,Shopping
163,4/29/2021,CC - BofA,93.55,,Pet
164,4/30/2021,CHK,1081.24,,Rent
165,5/1/2021,CC - BofA,25.72,,Shopping
166,5/3/2021,CHK,,521.88,Rent
167,5/3/2021,CC - BofA,49.95,,Insurance
168,5/3/2021,CC - BofA,10.40,,Food
169,5/3/2021,CC - CareCred,40.00,,Fee
170,5/5/2021,CC - BofA,16.08,,Hobby
171,5/6/2021,CC - CareCred,,69.00,Fee
172,5/6/2021,CC - AMEX,7.70,,Entertainment
173,5/8/2021,CC - BofA,23.11,,Entertainment
174,5/8/2021,CC - BofA,45.00,,Self Care
175,5/10/2021,CHK,31.00,,Gift
176,5/10/2021,CHK,1730.00,,Taxes
177,5/10/2021,CHK,585.00,,Taxes
178,5/10/2021,CHK,132.82,,Utility
179,5/10/2021,CHK,,27.84,Utility
180,5/10/2021,CHK,,21.69,Utility
181,5/10/2021,CHK,,20.65,Utility
182,5/10/2021,CHK,,19.52,Utility
183,5/10/2021,CHK,,18.74,Utility
184,5/10/2021,CHK,,17.76,Utility
185,5/10/2021,CHK,,12.83,Utility
186,5/10/2021,CC - BofA,56.53,,Food
187,5/10/2021,CC - BofA,11.96,,Entertainment
188,5/11/2021,CC - BofA,,15.29,Shopping
189,5/11/2021,CC - BofA,,0.43,Food
190,5/11/2021,CC - BofA,63.02,,Food
191,5/17/2021,CC - BofA,80.09,,Pet
192,5/18/2021,CC - BofA,24.30,,Entertainment
193,5/19/2021,CC - BofA,16.00,,Entertainment
194,5/19/2021,CC - BofA,41.97,,Shopping
195,5/19/2021,CC - BofA,165.20,,Entertainment
196,5/19/2021,CC - BofA,80.36,,Entertainment
197,5/20/2021,CC - BofA,75.60,,Entertainment
198,5/21/2021,CC - BofA,41.77,,Entertainment
199,5/22/2021,CC - BofA,36.29,,Food
200,5/24/2021,CHK,50.00,,Gas & Fuel
201,5/24/2021,CC - BofA,8.54,,Food
202,5/24/2021,CC - BofA,6.00,,Transportation
203,5/24/2021,CC - BofA,60.02,,Shopping
204,5/24/2021,CC - BofA,37.73,,Gas & Fuel
205,5/24/2021,CC - BofA,53.48,,Gas & Fuel
206,5/24/2021,CC - BofA,38.52,,Food
207,5/24/2021,CC - BofA,8.32,,Shopping
208,5/25/2021,CHK,176.96,,Utility
209,5/25/2021,CC - BofA,26.44,,Entertainment
210,5/27/2021,CC - BofA,21.92,,Entertainment
211,5/27/2021,CC - BofA,164.77,,Insurance
212,5/27/2021,CC - BofA,10.00,,Insurance
213,5/28/2021,CC - BofA,10.55,,Entertainment
214,5/29/2021,CC - BofA,,164.77,Insurance
215,5/29/2021,CC - BofA,50.00,,Donation
216,5/29/2021,CC - BofA,19.26,,Food
217,5/29/2021,CC - BofA,33.88,,Food
218,5/29/2021,CC - BofA,,10.00,Insurance
219,5/29/2021,CC - BofA,19.10,,Food
220,5/29/2021,CC - BofA,102.50,,Self Care
221,5/29/2021,CC - BofA,68.03,,Food
222,5/31/2021,CC - BofA,2.98,,Entertainment
223,5/31/2021,CC - BofA,7.80,,Entertainment
224,5/31/2021,CC - BofA,38.68,,Shopping
225,6/1/2021,CHK,,521.88,Rent
226,6/1/2021,CC - BofA,26.73,,Entertainment
227,6/1/2021,CC - BofA,41.00,,Entertainment
228,6/2/2021,CHK,,75.60,Entertainment
229,6/2/2021,CHK,1087.51,,Rent
230,6/2/2021,CC - BofA,49.95,,Insurance
231,6/3/2021,CC - BofA,80.09,,Pet
232,6/4/2021,CHK,20.00,,Gift
233,6/4/2021,CC - BofA,16.08,,Hobby
234,6/7/2021,CHK,,45.00,Entertainment
235,6/7/2021,CC - BofA,15.26,,Entertainment
236,6/7/2021,CC - BofA,16.40,,Entertainment
237,6/8/2021,CC - BofA,,4.16,Shopping
238,6/9/2021,CHK,132.82,,Utility
239,6/9/2021,CC - CareCred,310.00,,Pet
240,6/11/2021,CHK,103.00,,Entertainment
241,6/11/2021,CHK,2.50,,Fee
242,6/11/2021,CC - BofA,32.31,,Pet
243,6/11/2021,CC - BofA,58.17,,Gas & Fuel
244,6/12/2021,CC - BofA,39.67,,Shopping
245,6/14/2021,CC - BofA,180.00,,Medical
246,6/17/2021,CHK,,500.00,Transfer
247,6/19/2021,CC - BofA,10.84,,Entertainment
248,6/19/2021,CC - BofA,70.09,,Food
249,6/21/2021,CHK,,50.00,Entertainment
250,6/21/2021,CHK,,50.00,Entertainment
251,6/21/2021,CC - BofA,58.65,,Pet
252,6/22/2021,CC - BofA,35.26,,Shopping
253,6/22/2021,CC - BofA,50.00,,Medical
254,6/23/2021,CHK,96.95,,Utility
255,6/25/2021,CHK,15.00,,Donation
256,6/28/2021,CC - BofA,32.45,,Entertainment
257,6/28/2021,CC - BofA,2.92,,Transportation
258,6/29/2021,CC - BofA,43.16,,Food
259,7/2/2021,CHK,,521.88,Rent
260,7/2/2021,CHK,1082.83,,Rent
261,7/2/2021,CC - BofA,49.95,,Insurance
262,7/3/2021,CC - BofA,63.28,,Gas & Fuel
263,7/3/2021,CC - AMEX,1.06,,Hobby
264,7/3/2021,CC - AMEX,10.69,,Hobby
265,7/5/2021,CC - BofA,16.08,,Hobby
266,7/5/2021,CC - BofA,24.14,,Food
267,7/5/2021,CC - BofA,98.40,,Self Care
268,7/7/2021,CC - BofA,6.43,,Entertainment
269,7/8/2021,CHK,132.82,,Utility
270,7/9/2021,CC - BofA,58.65,,Pet
271,7/12/2021,CHK,,47.00,Entertainment
272,7/12/2021,CHK,45.00,,Entertainment
273,7/12/2021,CHK,50.00,,Gift
274,7/12/2021,CC - BofA,34.52,,Entertainment
275,7/14/2021,CHK,20.00,,Gift
276,7/19/2021,CC - BofA,19.82,,Travel
277,7/19/2021,CC - BofA,356.30,,Travel
278,7/19/2021,CC - BofA,9.54,,Entertainment
279,7/19/2021,CC - BofA,10.69,,Hobby
280,7/19/2021,CC - BofA,10.69,,Hobby
281,7/19/2021,CC - BofA,5.34,,Hobby
282,7/19/2021,CC - BofA,18.94,,Transportation
283,7/23/2021,CC - BofA,335.30,,Travel
284,7/23/2021,CC - BofA,51.13,,Entertainment
285,7/23/2021,CC - BofA,22.46,,Entertainment
286,7/24/2021,CC - BofA,26.31,,Transportation
287,7/26/2021,CHK,90.00,,Entertainment
288,7/26/2021,CHK,6.00,,Shopping
289,7/26/2021,CC - BofA,39.00,,Gas & Fuel
290,7/26/2021,CC - BofA,71.04,,Food
291,7/27/2021,CHK,104.56,,Utility
292,7/27/2021,CC - BofA,58.65,,Pet
293,7/28/2021,CC - BofA,,34.32,Rewards
294,7/29/2021,CC - BofA,10.69,,Hobby
295,7/30/2021,CHK,,521.88,Rent
296,8/2/2021,CHK,1085.55,,Rent
297,8/2/2021,CC - BofA,201.08,,Insurance
298,8/2/2021,CC - BofA,195.00,,Medical
299,8/3/2021,CC - BofA,49.95,,Insurance
300,8/3/2021,CC - BofA,16.08,,Hobby
301,8/3/2021,CC - BofA,9.75,,Transportation
302,8/6/2021,CHK,20.00,,Gift
303,8/6/2021,CHK,,39.67,Utility
304,8/6/2021,CHK,,24.78,Utility
305,8/6/2021,CHK,,21.88,Utility
306,8/6/2021,CHK,,20.98,Utility
307,8/6/2021,CHK,,20.90,Utility
308,8/6/2021,CHK,,20.65,Utility
309,8/6/2021,CHK,,19.54,Utility
310,8/6/2021,CC - BofA,21.60,,Entertainment
311,8/9/2021,CHK,222.28,,Entertainment
312,8/9/2021,CC - BofA,21.49,,Transportation
313,8/9/2021,CC - BofA,22.94,,Transportation
314,8/10/2021,CHK,132.79,,Utility
315,8/12/2021,CC - BofA,14.23,,Entertainment
316,8/12/2021,CC - BofA,10.69,,Hobby
317,8/12/2021,CC - BofA,19.10,,Entertainment
318,8/13/2021,CHK,,45.00,Entertainment
319,8/13/2021,CC - BofA,119.52,,Gift
320,8/14/2021,CC - BofA,69.00,,Self Care
321,8/16/2021,CHK,,15.00,Entertainment
322,8/16/2021,CHK,,65.00,Miscellaneous
323,8/16/2021,CC - BofA,12.26,,Entertainment
324,8/16/2021,CC - BofA,43.97,,Travel
325,8/16/2021,CC - BofA,1.06,,Hobby
326,8/16/2021,CC - BofA,33.45,,Entertainment
327,8/16/2021,CC - BofA,10.72,,Entertainment
328,8/17/2021,CC - BofA,10.50,,Entertainment
329,8/17/2021,CC - BofA,55.00,,Miscellaneous
330,8/18/2021,CC - BofA,,335.30,Travel
331,8/18/2021,CC - BofA,163.30,,Self Care
332,8/18/2021,CC - BofA,82.72,,Shopping
333,8/19/2021,CHK,42.00,,Entertainment
334,8/19/2021,CC - BofA,,50.40,Shopping
335,8/19/2021,CC - BofA,50.40,,Shopping
336,8/19/2021,CC - BofA,58.44,,Pet
337,8/20/2021,CC - BofA,196.00,,Clothing
338,8/20/2021,CC - BofA,14.00,,Entertainment
339,8/20/2021,CC - BofA,13.00,,Entertainment
340,8/20/2021,CC - BofA,65.00,,Self Care
341,8/20/2021,CC - BofA,4.28,,Entertainment
342,8/20/2021,CC - BofA,43.45,,Shopping
343,8/21/2021,CC - BofA,30.00,,Travel
344,8/23/2021,CHK,,10.00,Entertainment
345,8/23/2021,CHK,101.00,,Entertainment
346,8/23/2021,CHK,500.00,,Savings
347,8/23/2021,CC - BofA,30.00,,Travel
348,8/23/2021,CC - BofA,10.69,,Hobby
349,8/23/2021,CC - BofA,10.69,,Hobby
350,8/23/2021,CC - BofA,10.55,,Shopping
351,8/23/2021,CC - CareCred,191.21,,Pet
352,8/24/2021,CHK,41.00,,Entertainment
353,8/24/2021,CHK,134.34,,Utility
354,8/24/2021,CC - BofA,23.52,,Shopping
355,8/24/2021,CC - BofA,,0.54,Rewards
356,8/24/2021,CC - BofA,48.54,,Shopping
357,8/26/2021,CC - BofA,112.09,,Shopping
358,8/27/2021,CC - BofA,32.71,,Entertainment
359,8/30/2021,CHK,100.00,,Entertainment
360,8/30/2021,CC - BofA,95.50,,Travel
361,8/30/2021,CC - BofA,13.05,,Entertainment
362,8/30/2021,CC - BofA,21.39,,Hobby
363,8/30/2021,CC - BofA,36.97,,Food
364,9/1/2021,CC - BofA,52.84,,Entertainment
365,9/1/2021,CC - BofA,35.67,,Food
366,9/1/2021,CC - BofA,21.76,,Shopping
367,9/2/2021,CHK,,230.00,Gift
368,9/2/2021,CHK,,521.88,Rent
369,9/2/2021,CHK,1083.49,,Rent
370,9/2/2021,CC - BofA,49.95,,Insurance
371,9/2/2021,CC - BofA,16.08,,Hobby
372,9/2/2021,CC - BofA,9.08,,Entertainment
373,9/3/2021,CC - BofA,17.21,,Entertainment
374,9/3/2021,CC - BofA,20.22,,Gift
375,9/4/2021,CC - BofA,73.51,,Food
376,9/4/2021,CC - BofA,145.83,,Shopping
377,9/6/2021,CC - BofA,21.00,,Entertainment
378,9/6/2021,CC - BofA,13.67,,Food
379,9/6/2021,CC - BofA,23.51,,Pet
380,9/6/2021,CC - BofA,9.42,,Entertainment
381,9/6/2021,CC - BofA,18.94,,Entertainment
382,9/7/2021,CHK,,580.00,Rent
383,9/7/2021,CHK,580.00,,Rent
384,9/7/2021,CHK,110.00,,Shopping
385,9/7/2021,CHK,500.00,,Savings
386,9/7/2021,CC - BofA,64.69,,Gas & Fuel
387,9/7/2021,CC - BofA,12.94,,Transportation
388,9/8/2021,CC - BofA,126.28,,Pet
389,9/8/2021,CC - BofA,23.91,,Entertainment
390,9/9/2021,CHK,135.30,,Utility
391,9/9/2021,CC - BofA,10.69,,Hobby
392,9/9/2021,CC - BofA,17.68,,Entertainment
393,9/13/2021,CC - BofA,10.69,,Hobby
394,9/13/2021,CC - BofA,20.44,,Entertainment
395,9/15/2021,CC - BofA,27.95,,Entertainment
396,9/16/2021,CC - BofA,54.38,,Gas & Fuel
397,9/18/2021,CC - BofA,14.38,,Entertainment
398,9/18/2021,CC - BofA,12.78,,Entertainment
399,9/20/2021,CC - BofA,27.22,,Entertainment
400,9/21/2021,CHK,21.00,,Entertainment
401,9/21/2021,CHK,,102.80,Entertainment
402,9/21/2021,CC - BofA,23.12,,Shopping
403,9/21/2021,CC - BofA,,1.15,Rewards
404,9/21/2021,CC - BofA,205.60,,Entertainment
405,9/21/2021,CC - BofA,31.33,,Entertainment
406,9/21/2021,CC - BofA,12.00,,Food
407,9/23/2021,CC - BofA,40.73,,Food
408,9/24/2021,CHK,115.00,,Utility
409,9/24/2021,CC - BofA,58.65,,Pet
410,9/25/2021,CC - BofA,11.77,,Entertainment
411,9/25/2021,CC - BofA,56.96,,Gas & Fuel
412,9/25/2021,CC - AMEX,3.22,,Transportation
413,9/25/2021,CC - AMEX,4.53,,Transportation
414,9/25/2021,CC - AMEX,6.78,,Transportation
415,9/27/2021,CHK,125.00,,Entertainment
416,9/27/2021,CHK,,1000.00,Gift
417,9/27/2021,CHK,135.95,,Utility
418,9/27/2021,CC - BofA,8.11,,Entertainment
419,9/27/2021,CC - BofA,90.37,,Entertainment
420,9/27/2021,CC - BofA,10.69,,Hobby
421,9/29/2021,CHK,20.00,,Gift
422,9/29/2021,CC - BofA,30.74,,Entertainment
423,9/29/2021,CC - BofA,187.03,,Self Care
424,9/29/2021,CC - BofA,150.00,,Moving
425,9/30/2021,CC - BofA,15.88,,Entertainment
426,9/30/2021,CC - BofA,1.10,,Moving
427,10/1/2021,CHK,,580.00,Rent
428,10/1/2021,CC - BofA,208.44,,Gift
429,10/1/2021,CC - BofA,12.92,,Entertainment
430,10/1/2021,CC - BofA,7.04,,Entertainment
431,10/2/2021,CC - BofA,49.95,,Insurance
432,10/2/2021,CC - BofA,16.08,,Hobby
433,10/2/2021,CC - BofA,5.00,,Self Care
434,10/2/2021,CC - BofA,241.85,,Self Care
435,10/4/2021,CHK,20.00,,Gift
436,10/4/2021,CHK,,5.00,Rent
437,10/4/2021,CC - BofA,41.64,,Entertainment
438,10/4/2021,CC - BofA,29.29,,Entertainment
439,10/5/2021,CHK,,0.35,Miscellaneous
440,10/5/2021,CHK,1094.24,,Rent
441,10/6/2021,CC - BofA,69.92,,Gas & Fuel
442,10/6/2021,CC - BofA,71.72,,Entertainment
443,10/8/2021,CHK,143.82,,Utility
444,10/8/2021,CC - BofA,1.60,,Gas & Fuel
445,10/9/2021,CC - BofA,469.63,,Pet
446,10/11/2021,CC - BofA,22.51,,Clothing
447,10/11/2021,CC - BofA,75.90,,Self Care
448,10/11/2021,CC - BofA,100.70,,Entertainment
449,10/11/2021,CC - BofA,40.31,,Entertainment
450,10/11/2021,CC - BofA,33.90,,Transportation
451,10/11/2021,CC - BofA,39.36,,Shopping
452,10/12/2021,CHK,20.00,,Food
453,10/12/2021,CHK,800.00,,Moving
454,10/12/2021,CC - BofA,16.06,,Entertainment
455,10/12/2021,CC - BofA,26.65,,Entertainment
456,10/12/2021,CC - BofA,,49.95,Shopping
457,10/12/2021,CC - BofA,49.95,,Shopping
458,10/13/2021,CHK,12.00,,Entertainment
459,10/13/2021,CC - BofA,60.90,,Moving
460,10/14/2021,CHK,194.00,,Entertainment
461,10/14/2021,CC - BofA,8.93,,Entertainment
462,10/15/2021,CHK,25.00,,Entertainment
463,10/16/2021,CC - BofA,8.00,,Entertainment
464,10/16/2021,CC - BofA,20.70,,Entertainment
465,10/18/2021,CHK,20.00,,Entertainment
466,10/19/2021,CHK,63.00,,Gas & Fuel
467,10/19/2021,CHK,30.60,,Shopping
468,10/19/2021,CC - BofA,19.91,,Transportation
469,10/19/2021,CC - BofA,11.93,,Transportation
470,10/20/2021,CC - BofA,24.50,,Entertainment
471,10/21/2021,CC - BofA,20.86,,Entertainment
472,10/21/2021,CC - BofA,8.32,,Entertainment
473,10/23/2021,CC - BofA,345.70,,Travel
474,10/23/2021,CC - BofA,53.06,,Food
475,10/25/2021,CHK,6.00,,Entertainment
476,10/25/2021,CHK,,40.48,Utility
477,10/25/2021,CHK,,32.91,Utility
478,10/25/2021,CHK,,22.76,Utility
479,10/25/2021,CHK,,19.86,Utility
480,10/25/2021,CC - BofA,24.34,,Shopping
481,10/25/2021,CC - BofA,50.39,,Shopping
482,10/25/2021,CC - BofA,11.89,,Entertainment
483,10/25/2021,CC - BofA,64.19,,Personal
484,10/25/2021,CC - BofA,54.68,,Shopping
485,10/25/2021,CC - BofA,151.22,,Shopping
486,10/25/2021,CC - BofA,27.89,,Shopping
487,10/25/2021,CC - BofA,33.00,,Shopping
488,10/25/2021,CC - BofA,23.08,,Entertainment
489,10/25/2021,CC - BofA,79.53,,Entertainment
490,10/25/2021,CC - BofA,24.37,,Entertainment
491,10/25/2021,CC - BofA,17.96,,Transportation
492,10/26/2021,CC - BofA,4.98,,Entertainment
493,10/26/2021,CC - BofA,10.88,,Entertainment
494,10/27/2021,CHK,120.81,,Utility
495,10/28/2021,CHK,,6000.00,Gift
496,10/28/2021,CHK,350.00,,Rent
497,10/28/2021,CC - BofA,74.90,,Shopping
498,10/28/2021,CC - BofA,43.81,,Shopping
499,10/29/2021,CC - BofA,26.80,,Shopping
500,10/29/2021,CC - BofA,168.00,,Self Care
501,10/30/2021,CC - BofA,50.01,,Gas & Fuel
502,10/30/2021,CC - BofA,46.06,,Gas & Fuel
503,11/1/2021,CC - BofA,40.00,,Entertainment
504,11/1/2021,CC - BofA,51.00,,Entertainment
505,11/1/2021,CC - BofA,16.08,,Hobby
506,11/1/2021,CC - BofA,9.74,,Food
